Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-12-20,Tale of Tales,2015,https://boxd.it/c7Mjo7,5,,"eye candy, beautiful set, cinematography",2025-12-19
2025-12-20,Damsel,2024,https://boxd.it/c7YRZv,4,,"fairy tale, femme fatale",2025-12-19
2025-12-22,Lost and Found,1996,https://boxd.it/c9UkvH,4.5,,hong kong,2025-12-21
2025-12-22,The Wedding Banquet,1993,https://boxd.it/cadqwT,3.5,,"ang lee, nyc, chinese wedding, 90s",2025-12-21
2025-12-25,In Time,2011,https://boxd.it/cdn9Xv,3,,,2025-12-24
2025-12-28,Scouts Guide to the Zombie Apocalypse,2015,https://boxd.it/ch66P1,4,,"zombie, fun",2025-12-27
2025-12-31,Hocus Pocus,1993,https://boxd.it/ckooeP,3,Yes,family friendly,2025-12-30
2025-12-31,Aquamarine,2006,https://boxd.it/ckophb,3,Yes,family friendly,2025-12-30
2026-01-02,The Substance,2024,https://boxd.it/cnprmV,2,,,2026-01-01
2026-01-03,The Ugly Stepsister,2025,https://boxd.it/cnV8gD,4,,,2026-01-02
2026-01-06,The Lure,2015,https://boxd.it/ctgOxj,3.5,,dark fantasy,2026-01-05
2026-01-23,Casino,1995,https://boxd.it/cLK1gF,4.5,,,2026-01-22
2026-01-24,Eternity,2025,https://boxd.it/cNnZVl,3.5,,,2026-01-24
2026-01-25,Like Water for Chocolate,1992,https://boxd.it/cOfrKV,4,Yes,"fairy tale, food, kitchen shots",2026-01-24
2026-01-28,Trap,2024,https://boxd.it/cRLV7l,2.5,,,2026-01-27
2026-02-16,No Other Choice,2025,https://boxd.it/d9QDmJ,3,,,2026-02-16
2026-02-20,My Big Fat Greek Wedding,2002,https://boxd.it/dd1Uwl,4,,"family friendly, culture, greek culture, family values",2026-02-19
2026-02-21,Meet Joe Black,1998,https://boxd.it/denwaD,1.5,,,2026-02-20
2026-02-23,Gattaca,1997,https://boxd.it/dgkdtj,5,Yes,,2026-02-22
2026-02-25,Run,2020,https://boxd.it/dis1l7,3,,,2026-02-24
2026-02-26,Weird Science,1985,https://boxd.it/diX84p,3,Yes,wholesome,2026-02-25
