Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-02-12,Campy,,https://boxd.it/Sx3A0,

Position,Name,Year,URL,Description
1,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q,
2,Halloween with the New Addams Family,1977,https://boxd.it/3Duu,
3,Death Becomes Her,1992,https://boxd.it/1YQi,
4,The Addams Family,1991,https://boxd.it/267g,
5,Addams Family Values,1993,https://boxd.it/26mq,
6,Flash Gordon,1980,https://boxd.it/257a,
7,Barbarella,1968,https://boxd.it/20Ba,
8,Beetlejuice,1988,https://boxd.it/24QI,
9,Frankenhooker,1990,https://boxd.it/1saE,
