Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-02-12,Dark Fantasy,,https://boxd.it/Sx45M,

Position,Name,Year,URL,Description
1,Valerie and Her Week of Wonders,1970,https://boxd.it/NsC,
2,Angel-A,2005,https://boxd.it/1UjO,
3,The Love Witch,2016,https://boxd.it/cZie,
4,The Craft,1996,https://boxd.it/1Zai,
5,Death Becomes Her,1992,https://boxd.it/1YQi,
6,Bram Stoker's Dracula,1992,https://boxd.it/223a,
7,Paprika,2006,https://boxd.it/23wW,
8,The Ugly Stepsister,2025,https://boxd.it/MZBM,
9,Damsel,2024,https://boxd.it/sFY2,
10,The Lure,2015,https://boxd.it/d3mE,
11,Tale of Tales,2015,https://boxd.it/a89u,
