Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-02-12,Kid friendly,,https://boxd.it/Sx3Xy,

Position,Name,Year,URL,Description
1,Raya and the Last Dragon,2021,https://boxd.it/jbkI,
2,Big Hero 6,2014,https://boxd.it/5rje,
3,Lilo & Stitch,2025,https://boxd.it/kbUe,
4,Lilo & Stitch,2002,https://boxd.it/1TAY,
5,Turning Red,2022,https://boxd.it/ipkq,
6,Encanto,2021,https://boxd.it/kPRu,
7,Luca,2021,https://boxd.it/ipjC,
8,Coco,2017,https://boxd.it/bYJQ,
9,Finding Nemo,2003,https://boxd.it/72i,
10,Finding Dory,2016,https://boxd.it/4aAA,
11,Inside Out,2015,https://boxd.it/4KHC,
