Date,Name,Year,Letterboxd URI,Rating
2025-12-20,Tale of Tales,2015,https://boxd.it/a89u,5
2025-12-20,Don't Worry Darling,2022,https://boxd.it/mViu,5
2025-12-20,Frankenhooker,1990,https://boxd.it/1saE,4
2025-12-20,Donkey Skin,1970,https://boxd.it/22V2,3.5
2025-12-20,Triangle of Sadness,2022,https://boxd.it/hXlq,4
2025-12-20,Damsel,2024,https://boxd.it/sFY2,4
2025-12-22,Lost and Found,1996,https://boxd.it/3Vt0,4.5
2025-12-22,The Wedding Banquet,1993,https://boxd.it/1Z82,3.5
2025-12-23,Cloud Atlas,2012,https://boxd.it/2W60,3.5
2025-12-24,Women on the Verge of a Nervous Breakdown,1988,https://boxd.it/24GI,3
2025-12-25,In Time,2011,https://boxd.it/FPS,3
2025-12-26,Office Space,1999,https://boxd.it/28Em,3.5
2025-12-26,The Virgin Suicides,1999,https://boxd.it/28JG,4.5
2025-12-27,Angela's Ashes,1999,https://boxd.it/1WmK,3.5
2025-12-27,Thirteen,2003,https://boxd.it/1UPK,3
2025-12-28,Scouts Guide to the Zombie Apocalypse,2015,https://boxd.it/8i6Q,4
2025-12-31,Open Water,2003,https://boxd.it/2bbM,4.5
2025-12-31,Cast Away,2000,https://boxd.it/20i8,4.5
2025-12-31,The Martian,2015,https://boxd.it/8SeG,4
2025-12-31,Buried,2010,https://boxd.it/1tXC,4
2025-12-31,The Day After Tomorrow,2004,https://boxd.it/2aog,3
2025-12-31,Society of the Snow,2023,https://boxd.it/y9aw,5
2025-12-31,Nowhere,2023,https://boxd.it/HypO,3.5
2025-12-31,Parasite,2019,https://boxd.it/hTha,3
2025-12-31,Zombieland,2009,https://boxd.it/1En6,3.5
2025-12-31,Hocus Pocus,1993,https://boxd.it/1Wgi,3
2025-12-31,Aquamarine,2006,https://boxd.it/1OAE,3
2026-01-02,The Substance,2024,https://boxd.it/zanS,2
2026-01-03,Closer,2004,https://boxd.it/270K,3
2026-01-03,Pan's Labyrinth,2006,https://boxd.it/28No,4.5
2026-01-03,Creep,2014,https://boxd.it/7l4c,3
2026-01-03,Creep 2,2017,https://boxd.it/dSEO,3
2026-01-06,The Lure,2015,https://boxd.it/d3mE,3.5
2026-01-16,Soul Plane,2004,https://boxd.it/1RtG,2.5
2026-01-17,Ruby Sparks,2012,https://boxd.it/3w9O,3.5
2026-01-17,Weapons,2025,https://boxd.it/EMTM,4
2026-01-19,The Prince of Egypt,1998,https://boxd.it/1XGQ,3.5
2026-01-23,Under the Skin,2013,https://boxd.it/3mDa,3.5
2026-01-23,Casino,1995,https://boxd.it/2ads,4.5
2026-01-24,Eternity,2025,https://boxd.it/LYtK,3.5
2026-01-25,Rosemary's Baby,1968,https://boxd.it/29zM,4
2026-01-25,Like Water for Chocolate,1992,https://boxd.it/1Hq8,4
2026-01-28,Trap,2024,https://boxd.it/D4nK,2.5
2026-01-28,It's a Wonderful Life,1946,https://boxd.it/28xA,3
2026-01-31,Me Before You,2016,https://boxd.it/9n98,4
2026-02-07,Burlesque,2010,https://boxd.it/Xfo,2
2026-02-07,The Other Guys,2010,https://boxd.it/1rtq,3.5
2026-02-11,Train to Busan,2016,https://boxd.it/dSQU,5
2026-02-12,The Descent,2005,https://boxd.it/1YNy,5
2026-02-12,The Descent: Part 2,2009,https://boxd.it/1dOO,3
2026-02-12,Why Him?,2016,https://boxd.it/c3Wq,2
2026-02-12,Mortal Kombat,2021,https://boxd.it/gswA,2
2026-02-12,Mortal Kombat,1995,https://boxd.it/1YZY,3
2026-02-12,Hackers,1995,https://boxd.it/1WhU,4
2026-02-12,The Bodyguard,1992,https://boxd.it/29Z6,3
2026-02-12,Angel-A,2005,https://boxd.it/1UjO,4
2026-02-12,The Love Witch,2016,https://boxd.it/cZie,4.5
2026-02-12,Lilo & Stitch,2025,https://boxd.it/kbUe,5
2026-02-12,Lilo & Stitch,2002,https://boxd.it/1TAY,4.5
2026-02-12,Legally Blonde,2001,https://boxd.it/1ZNa,4.5
2026-02-12,The Craft,1996,https://boxd.it/1Zai,4
2026-02-12,Death Becomes Her,1992,https://boxd.it/1YQi,4
2026-02-12,The Addams Family,1991,https://boxd.it/267g,5
2026-02-12,Addams Family Values,1993,https://boxd.it/26mq,4
2026-02-12,Bram Stoker's Dracula,1992,https://boxd.it/223a,5
2026-02-12,Dracula,2025,https://boxd.it/Lng0,2
2026-02-12,Gone with the Wind,1939,https://boxd.it/29Fq,5
2026-02-12,10 Things I Hate About You,1999,https://boxd.it/23AO,4
2026-02-12,Flash Gordon,1980,https://boxd.it/257a,2.5
2026-02-12,Barbarella,1968,https://boxd.it/20Ba,3
2026-02-12,Airplane!,1980,https://boxd.it/29yu,3.5
2026-02-12,Black Dynamite,2009,https://boxd.it/1wX6,3
2026-02-12,The One,2001,https://boxd.it/1Vni,5
2026-02-12,Paprika,2006,https://boxd.it/23wW,3
2026-02-12,The Ugly Stepsister,2025,https://boxd.it/MZBM,4.5
2026-02-12,Beetlejuice,1988,https://boxd.it/24QI,4
2026-02-12,Barbie,2023,https://boxd.it/bCLK,1
2026-02-12,Cocaine Bear,2023,https://boxd.it/ugw2,4
2026-02-12,The Menu,2022,https://boxd.it/lScm,3.5
2026-02-12,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,0.5
2026-02-12,Turning Red,2022,https://boxd.it/ipkq,3
2026-02-12,Encanto,2021,https://boxd.it/kPRu,4.5
2026-02-12,Minari,2020,https://boxd.it/mL9M,4.5
2026-02-12,Marriage Story,2019,https://boxd.it/hJAw,5
2026-02-12,Coco,2017,https://boxd.it/bYJQ,5
2026-02-12,10 Cloverfield Lane,2016,https://boxd.it/aZiu,4.5
2026-02-12,Finding Nemo,2003,https://boxd.it/72i,4
2026-02-12,Finding Dory,2016,https://boxd.it/4aAA,4
2026-02-12,Sausage Party,2016,https://boxd.it/6CCe,1
2026-02-12,Inside Out,2015,https://boxd.it/4KHC,4
2026-02-12,"As Above, So Below",2014,https://boxd.it/7yui,3
2026-02-12,Interstellar,2014,https://boxd.it/4VZ8,4
2026-02-23,Gattaca,1997,https://boxd.it/29Du,5
2026-02-23,My Big Fat Greek Wedding,2002,https://boxd.it/20k4,4
2026-02-23,No Other Choice,2025,https://boxd.it/nKiA,3
2026-02-24,Meet Joe Black,1998,https://boxd.it/2aEI,1.5
2026-02-25,Run,2020,https://boxd.it/jVM4,3
2026-02-26,Weird Science,1985,https://boxd.it/1T1O,3
2026-02-26,The Fifth Element,1997,https://boxd.it/71k,3.5
2026-02-27,A Moment of Romance,1990,https://boxd.it/2PLU,4
