Date,Name,Year,Letterboxd URI
2025-12-20,Tale of Tales,2015,https://boxd.it/a89u
2025-12-20,Gattaca,1997,https://boxd.it/29Du
2025-12-20,Don't Worry Darling,2022,https://boxd.it/mViu
2025-12-20,Frankenhooker,1990,https://boxd.it/1saE
2025-12-20,Donkey Skin,1970,https://boxd.it/22V2
2025-12-20,Triangle of Sadness,2022,https://boxd.it/hXlq
2025-12-20,Damsel,2024,https://boxd.it/sFY2
2025-12-22,Lost and Found,1996,https://boxd.it/3Vt0
2025-12-28,Scouts Guide to the Zombie Apocalypse,2015,https://boxd.it/8i6Q
2026-01-03,Pan's Labyrinth,2006,https://boxd.it/28No
2026-01-23,Casino,1995,https://boxd.it/2ads
2026-02-12,The One,2001,https://boxd.it/1Vni
2026-02-20,My Big Fat Greek Wedding,2002,https://boxd.it/20k4
