Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-02-12,Hawaii,,https://boxd.it/Sx0fS,

Position,Name,Year,URL,Description
1,Lilo & Stitch,2025,https://boxd.it/kbUe,
2,50 First Dates,2004,https://boxd.it/285c,
3,Forgetting Sarah Marshall,2008,https://boxd.it/1XEq,
4,Blue Crush,2002,https://boxd.it/1Z7e,
5,North Shore,1987,https://boxd.it/1zSS,
6,Blue Hawaii,1961,https://boxd.it/1Hka,
7,The Legend of Hallowaiian,2018,https://boxd.it/j0Pq,
8,Aloha Summer,1988,https://boxd.it/71MI,
9,Pearl Harbor,2001,https://boxd.it/29Q4,
