Date,Name,Year,Letterboxd URI
2025-12-20,Tale of Tales,2015,https://boxd.it/a89u
2025-12-20,Parasite,2019,https://boxd.it/hTha
2025-12-20,Barbie,2023,https://boxd.it/bCLK
2025-12-20,Interstellar,2014,https://boxd.it/4VZ8
2025-12-20,Fight Club,1999,https://boxd.it/2a9q
2025-12-20,La La Land,2016,https://boxd.it/a5fa
2025-12-20,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2025-12-20,Pulp Fiction,1994,https://boxd.it/29Pq
2025-12-20,The Truman Show,1998,https://boxd.it/18U8
2025-12-20,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2025-12-20,American Psycho,2000,https://boxd.it/28Vs
2025-12-20,Inception,2010,https://boxd.it/1skk
2025-12-20,Dead Poets Society,1989,https://boxd.it/2aSg
2025-12-20,The Dark Knight,2008,https://boxd.it/2b0k
2025-12-20,Midsommar,2019,https://boxd.it/jhxe
2025-12-20,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2025-12-20,Get Out,2017,https://boxd.it/eOCm
2025-12-20,10 Things I Hate About You,1999,https://boxd.it/23AO
2025-12-20,Spirited Away,2001,https://boxd.it/2b4m
2025-12-20,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2025-12-20,Se7en,1995,https://boxd.it/29zs
2025-12-20,Black Swan,2010,https://boxd.it/Sw0
2025-12-20,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2025-12-20,Wicked,2024,https://boxd.it/e8ME
2025-12-20,The Silence of the Lambs,1991,https://boxd.it/2aHW
2025-12-20,The Menu,2022,https://boxd.it/lScm
2025-12-20,Gone Girl,2014,https://boxd.it/6hQu
2025-12-20,Kill Bill: Vol. 1,2003,https://boxd.it/70w
2025-12-20,Good Will Hunting,1997,https://boxd.it/2ahY
2025-12-20,The Shining,1980,https://boxd.it/29Nu
2025-12-20,Inglourious Basterds,2009,https://boxd.it/1JzG
2025-12-20,Forrest Gump,1994,https://boxd.it/728
2025-12-20,(500) Days of Summer,2009,https://boxd.it/1EmM
2025-12-20,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8
2025-12-20,Shutter Island,2010,https://boxd.it/1U82
2025-12-20,The Godfather,1972,https://boxd.it/2aNK
2025-12-20,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2025-12-20,Ratatouille,2007,https://boxd.it/27ww
2025-12-20,Django Unchained,2012,https://boxd.it/2cCk
2025-12-20,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O
2025-12-20,Mean Girls,2004,https://boxd.it/1VNg
2025-12-20,Mickey 17,2025,https://boxd.it/q1Dk
2025-12-20,Taxi Driver,1976,https://boxd.it/2b8y
2025-12-20,The Matrix,1999,https://boxd.it/2a1m
2025-12-20,The Shawshank Redemption,1994,https://boxd.it/2aHi
2025-12-20,Baby Driver,2017,https://boxd.it/bhF2
2025-12-20,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2025-12-20,Coraline,2009,https://boxd.it/1NhQ
2025-12-20,Donnie Darko,2001,https://boxd.it/2b2A
